Perioden;Jaar;Maand;CPI_energie;CPI_energie-100;CPI(afgeleid)_energie ;CPI_algemeen;CPI(algemeen)_afgeleid;CPI_elektriciteit;CPI(elektriciteit)_afgeleid;CPI_gas;CPI(gas)_afgeleid;CPI_energiejaarlijks
2000-01;2000;1;52.22;-47.78;65.2;73.55;77.17;69.63;78.38;43.7;57.67;9.3
2000-02;2000;2;52.29;-47.71;65.28;74;77.64;69.84;78.62;43.69;57.66;9.4
2000-03;2000;3;52.73;-47.27;65.84;74.66;78.33;71.36;80.33;43.62;57.56;10.3
2000-04;2000;4;52.74;-47.26;65.85;74.78;78.46;71.38;80.35;43.62;57.56;10.7
2000-05;2000;5;52.74;-47.26;65.85;75.02;78.69;71.38;80.35;43.62;57.56;10.7
2000-06;2000;6;52.74;-47.26;65.85;74.94;78.62;71.38;80.35;43.62;57.56;10.7
2000-07;2000;7;54.71;-45.29;68.31;74.75;78.41;72.78;81.94;45.86;60.52;17.4
2000-08;2000;8;54.71;-45.29;68.31;75.08;78.75;72.78;81.94;45.86;60.52;17.4
2000-09;2000;9;54.68;-45.32;68.27;75.99;79.7;72.71;81.85;45.85;60.51;17.4
2000-10;2000;10;55.02;-44.98;68.7;76.12;79.84;73.99;83.29;45.74;60.36;18.1
2000-11;2000;11;55.08;-44.92;68.77;76.11;79.83;74.06;83.37;45.79;60.42;17.9
2000-12;2000;12;55.08;-44.92;68.77;75.66;79.36;74.06;83.37;45.79;60.42;17.9
2001-01;2001;1;62.13;-37.87;70.56;76.31;79.25;84.49;83.31;51.19;63.28;19
2001-02;2001;2;62.13;-37.87;70.56;76.98;79.91;84.49;83.31;51.19;63.28;18.8
2001-03;2001;3;62.13;-37.87;70.56;77.7;80.67;84.49;83.31;51.19;63.28;17.8
2001-04;2001;4;60.14;-39.86;68.11;78.13;81.12;78.74;76.92;51.02;63.06;14
2001-05;2001;5;60.14;-39.86;68.11;78.39;81.39;78.74;76.92;51.02;63.06;14
2001-06;2001;6;60.14;-39.86;68.11;78.09;81.07;78.74;76.92;51.02;63.06;14
2001-07;2001;7;62.91;-37.09;71.52;77.98;80.99;82.42;81.01;53.34;66.09;15
2001-08;2001;8;62.91;-37.09;71.52;78.27;81.28;82.42;81.01;53.34;66.09;15
2001-09;2001;9;62.91;-37.09;71.52;79.23;82.27;82.42;81.01;53.34;66.09;15.1
2001-10;2001;10;62.47;-37.53;70.98;79.15;82.18;81.09;79.53;53.34;66.09;13.5
2001-11;2001;11;62.47;-37.53;70.98;79.05;82.08;81.09;79.53;53.34;66.09;13.4
2001-12;2001;12;62.47;-37.53;70.98;78.81;81.84;81.09;79.53;53.34;66.09;13.4
2002-01;2002;1;64.33;-35.67;72.29;79.38;82.37;81.63;78.77;55.84;68.58;3.5
2002-02;2002;2;64.33;-35.67;72.29;79.81;82.82;81.63;78.77;55.84;68.58;3.5
2002-03;2002;3;64.32;-35.68;72.27;80.52;83.55;81.59;78.72;55.84;68.58;3.5
2002-04;2002;4;64.32;-35.68;72.27;80.9;83.94;81.59;78.72;55.84;68.58;7
2002-05;2002;5;64.32;-35.68;72.27;80.92;83.96;81.59;78.72;55.84;68.58;7
2002-06;2002;6;64.32;-35.68;72.27;80.65;83.66;81.59;78.72;55.84;68.58;7
2002-07;2002;7;65.73;-34.27;74.01;80.54;83.55;85.01;82.53;56.27;69.14;4.5
2002-08;2002;8;65.73;-34.27;74.01;80.81;83.84;85.01;82.53;56.27;69.14;4.5
2002-09;2002;9;65.73;-34.27;74.01;81.69;84.74;85.01;82.53;56.27;69.14;4.5
2002-10;2002;10;66;-34;74.35;81.49;84.59;84.51;81.96;56.93;69.99;5.7
2002-11;2002;11;66.08;-33.92;74.45;81.25;84.34;84.51;81.96;57.04;70.15;5.8
2002-12;2002;12;66.08;-33.92;74.45;80.97;84.05;84.51;81.96;57.04;70.15;5.8
2003-01;2003;1;68.89;-31.11;76.35;81.25;84.06;84.8;80.14;61.06;74.18;7.1
2003-02;2003;2;68.89;-31.11;76.35;81.75;84.58;84.8;80.14;61.06;74.18;7.1
2003-03;2003;3;68.89;-31.11;76.35;82.53;85.39;84.8;80.14;61.06;74.18;7.1
2003-04;2003;4;69.04;-30.96;76.55;82.61;85.47;85.25;80.64;61.07;74.19;7.3
2003-05;2003;5;69.04;-30.96;76.55;82.55;85.42;85.25;80.64;61.07;74.19;7.3
2003-06;2003;6;69.04;-30.96;76.55;82.17;85.02;85.25;80.64;61.07;74.19;7.3
2003-07;2003;7;70.62;-29.38;81.03;82.24;85.19;85.45;87.85;63.32;77.12;7.4
2003-08;2003;8;70.62;-29.38;81.03;82.5;85.45;85.45;87.85;63.32;77.12;7.4
2003-09;2003;9;70.62;-29.38;81.03;83.31;86.29;85.45;87.85;63.32;77.12;7.4
2003-10;2003;10;70.65;-29.35;81.06;83.08;86.06;85.53;87.93;63.32;77.12;7
2003-11;2003;11;70.65;-29.35;81.06;82.87;85.84;85.53;87.93;63.32;77.12;6.9
2003-12;2003;12;70.65;-29.35;81.06;82.34;85.29;85.53;87.93;63.32;77.12;6.9
2004-01;2004;1;71.99;-28.01;82.26;82.35;85.09;88.66;91.45;63.79;77;4.5
2004-02;2004;2;71.99;-28.01;82.26;82.72;85.47;88.66;91.45;63.79;77;4.5
2004-03;2004;3;71.99;-28.01;82.26;83.44;86.14;88.66;91.45;63.79;77;4.5
2004-04;2004;4;71.99;-28.01;82.26;83.71;86.31;88.66;91.45;63.79;77;4.3
2004-05;2004;5;71.99;-28.01;82.26;83.85;86.45;88.66;91.45;63.79;77;4.3
2004-06;2004;6;71.99;-28.01;82.26;83.31;85.89;88.66;91.45;63.79;77;4.3
2004-07;2004;7;72.58;-27.42;81.79;83.19;85.72;89.07;88.6;64.47;77.89;2.8
2004-08;2004;8;72.58;-27.42;81.79;83.47;86.01;89.07;88.6;64.47;77.89;2.8
2004-09;2004;9;72.56;-27.44;81.77;84.2;86.76;89.02;88.54;64.47;77.89;2.7
2004-10;2004;10;72.58;-27.42;81.79;84.23;86.8;89.04;88.57;64.49;77.91;2.7
2004-11;2004;11;72.58;-27.42;81.79;83.98;86.54;89.04;88.57;64.49;77.91;2.7
2004-12;2004;12;72.58;-27.42;81.79;83.25;85.79;89.04;88.57;64.49;77.91;2.7
2005-01;2005;1;81.66;-18.34;90.76;83.58;85.92;96.16;92.81;74.5;89.57;13.4
2005-02;2005;2;81.66;-18.34;90.76;84.1;86.46;96.16;92.81;74.5;89.57;13.4
2005-03;2005;3;81.66;-18.34;90.77;84.88;87.28;96.17;92.82;74.5;89.57;13.4
2005-04;2005;4;81.66;-18.34;90.76;85.03;87.42;96.16;92.81;74.5;89.57;13.4
2005-05;2005;5;81.66;-18.34;90.77;84.98;87.37;96.17;92.82;74.5;89.57;13.4
2005-06;2005;6;81.69;-18.31;90.81;84.7;87.08;96.17;92.82;74.55;89.63;13.5
2005-07;2005;7;82.23;-17.77;91.47;84.57;86.95;96.33;92.99;75.27;90.57;13.3
2005-08;2005;8;83.31;-16.69;92.8;84.96;87.36;96.97;93.71;76.56;92.25;14.8
2005-09;2005;9;83.3;-16.7;92.79;85.73;88.15;96.96;93.7;76.56;92.25;14.8
2005-10;2005;10;83.34;-16.66;92.83;85.66;88.08;97;93.74;76.59;92.29;14.8
2005-11;2005;11;83.33;-16.67;92.83;85.44;87.85;96.98;93.72;76.59;92.29;14.8
2005-12;2005;12;83.33;-16.67;92.83;84.98;87.38;96.98;93.72;76.59;92.29;14.8
2006-01;2006;1;89.54;-10.46;100.37;84.68;87.44;102.57;99.74;83.09;100.7;9.6
2006-02;2006;2;89.54;-10.46;100.29;85.01;87.79;102.57;99.55;83.09;100.7;9.6
2006-03;2006;3;89.55;-10.45;100.31;85.68;88.49;102.62;99.6;83.09;100.7;9.7
2006-04;2006;4;89.56;-10.44;100.32;86.07;88.88;102.64;99.62;83.09;100.7;9.7
2006-05;2006;5;89.57;-10.43;100.33;86.15;88.95;102.64;99.62;83.1;100.72;9.7
2006-06;2006;6;89.57;-10.43;100.33;85.84;88.62;102.63;99.61;83.1;100.72;9.6
2006-07;2006;7;90.82;-9.18;101.72;85.68;88.46;104.6;101.52;83.95;101.75;10.4
2006-08;2006;8;91.18;-8.82;102.13;86.13;88.89;105.25;102.16;84.15;101.98;9.4
2006-09;2006;9;91.17;-8.83;102.13;86.46;89.24;105.25;102.16;84.15;101.98;9.4
2006-10;2006;10;91.2;-8.8;102.15;86.24;89.01;105.31;102.21;84.15;101.99;9.4
2006-11;2006;11;91.19;-8.81;102.14;86.1;88.87;105.28;102.19;84.15;101.99;9.4
2006-12;2007;12;91.19;-8.81;102.15;85.79;88.54;105.29;102.2;84.15;101.99;9.4
2007-01;2007;1;95.59;-4.41;106.66;85.89;88.55;106.68;103.01;90.32;109.15;6.8
2007-02;2007;2;95.76;-4.24;106.85;86.28;88.96;107.11;103.43;90.34;109.17;6.9
